fips,NAME,income
01001,"Autauga County, Alabama",68315
01003,"Baldwin County, Alabama",71039
01005,"Barbour County, Alabama",39712
01007,"Bibb County, Alabama",50669
01009,"Blount County, Alabama",57440
01011,"Bullock County, Alabama",36136
01013,"Butler County, Alabama",44429
01015,"Calhoun County, Alabama",54339
01017,"Chambers County, Alabama",48805
01019,"Cherokee County, Alabama",46621
01021,"Chilton County, Alabama",62471
01023,"Choctaw County, Alabama",43299
01025,"Clarke County, Alabama",47549
01027,"Clay County, Alabama",48074
01029,"Cleburne County, Alabama",51553
01031,"Coffee County, Alabama",62199
01033,"Colbert County, Alabama",56149
01035,"Conecuh County, Alabama",39888
01037,"Coosa County, Alabama",52279
01039,"Covington County, Alabama",48772
01041,"Crenshaw County, Alabama",48557
01043,"Cullman County, Alabama",58119
01045,"Dale County, Alabama",52813
01047,"Dallas County, Alabama",37180
01049,"DeKalb County, Alabama",47920
01051,"Elmore County, Alabama",73258
01053,"Escambia County, Alabama",41153
01055,"Etowah County, Alabama",52177
01057,"Fayette County, Alabama",45650
01059,"Franklin County, Alabama",47359
01061,"Geneva County, Alabama",47608
01063,"Greene County, Alabama",32796
01065,"Hale County, Alabama",35851
01067,"Henry County, Alabama",58395
01069,"Houston County, Alabama",55064
01071,"Jackson County, Alabama",46748
01073,"Jefferson County, Alabama",63595
01075,"Lamar County, Alabama",49565
01077,"Lauderdale County, Alabama",56081
01079,"Lawrence County, Alabama",54786
01081,"Lee County, Alabama",59288
01083,"Limestone County, Alabama",80146
01085,"Lowndes County, Alabama",33125
01087,"Macon County, Alabama",41206
01089,"Madison County, Alabama",78058
01091,"Marengo County, Alabama",42975
01093,"Marion County, Alabama",49743
01095,"Marshall County, Alabama",58272
01097,"Mobile County, Alabama",55352
01099,"Monroe County, Alabama",39965
01101,"Montgomery County, Alabama",56707
01103,"Morgan County, Alabama",61588
01105,"Perry County, Alabama",32332
01107,"Pickens County, Alabama",45339
01109,"Pike County, Alabama",42616
01111,"Randolph County, Alabama",49879
01113,"Russell County, Alabama",47420
01115,"St. Clair County, Alabama",73218
01117,"Shelby County, Alabama",90618
01119,"Sumter County, Alabama",31726
01121,"Talladega County, Alabama",52457
01123,"Tallapoosa County, Alabama",53282
01125,"Tuscaloosa County, Alabama",61645
01127,"Walker County, Alabama",52987
01129,"Washington County, Alabama",51184
01131,"Wilcox County, Alabama",38208
01133,"Winston County, Alabama",49494
02013,"Aleutians East Borough, Alaska",79961
02016,"Aleutians West Census Area, Alaska",100662
02020,"Anchorage Municipality, Alaska",95731
02050,"Bethel Census Area, Alaska",64094
02060,"Bristol Bay Borough, Alaska",94167
02063,"Chugach Census Area, Alaska",83068
02066,"Copper River Census Area, Alaska",70606
02068,"Denali Borough, Alaska",87292
02070,"Dillingham Census Area, Alaska",69412
02090,"Fairbanks North Star Borough, Alaska",81655
02100,"Haines Borough, Alaska",68276
02105,"Hoonah-Angoon Census Area, Alaska",62344
02110,"Juneau City and Borough, Alaska",95711
02122,"Kenai Peninsula Borough, Alaska",76272
02130,"Ketchikan Gateway Borough, Alaska",82763
02150,"Kodiak Island Borough, Alaska",91138
02158,"Kusilvak Census Area, Alaska",42663
02164,"Lake and Peninsula Borough, Alaska",61607
02170,"Matanuska-Susitna Borough, Alaska",86435
02180,"Nome Census Area, Alaska",70121
02185,"North Slope Borough, Alaska",83472
02188,"Northwest Arctic Borough, Alaska",77647
02195,"Petersburg Borough, Alaska",77826
02198,"Prince of Wales-Hyder Census Area, Alaska",61779
02220,"Sitka City and Borough, Alaska",95261
02230,"Skagway Municipality, Alaska",79583
02240,"Southeast Fairbanks Census Area, Alaska",75378
02275,"Wrangell City and Borough, Alaska",61000
02282,"Yakutat City and Borough, Alaska",76875
02290,"Yukon-Koyukuk Census Area, Alaska",47826
04001,"Apache County, Arizona",37483
04003,"Cochise County, Arizona",58421
04005,"Coconino County, Arizona",67266
04007,"Gila County, Arizona",55242
04009,"Graham County, Arizona",64089
04011,"Greenlee County, Arizona",73756
04012,"La Paz County, Arizona",46634
04013,"Maricopa County, Arizona",80675
04015,"Mohave County, Arizona",53592
04017,"Navajo County, Arizona",50335
04019,"Pima County, Arizona",64323
04021,"Pinal County, Arizona",73313
04023,"Santa Cruz County, Arizona",51885
04025,"Yavapai County, Arizona",62430
04027,"Yuma County, Arizona",56439
05001,"Arkansas County, Arkansas",58695
05003,"Ashley County, Arkansas",44804
05005,"Baxter County, Arkansas",47403
05007,"Benton County, Arkansas",85269
05009,"Boone County, Arkansas",52275
05011,"Bradley County, Arkansas",43688
05013,"Calhoun County, Arkansas",60237
05015,"Carroll County, Arkansas",56826
05017,"Chicot County, Arkansas",36593
05019,"Clark County, Arkansas",48071
05021,"Clay County, Arkansas",44685
05023,"Cleburne County, Arkansas",52780
05025,"Cleveland County, Arkansas",48913
05027,"Columbia County, Arkansas",47441
05029,"Conway County, Arkansas",50282
05031,"Craighead County, Arkansas",55169
05033,"Crawford County, Arkansas",56702
05035,"Crittenden County, Arkansas",51860
05037,"Cross County, Arkansas",48129
05039,"Dallas County, Arkansas",40085
05041,"Desha County, Arkansas",38067
05043,"Drew County, Arkansas",44968
05045,"Faulkner County, Arkansas",61273
05047,"Franklin County, Arkansas",47695
05049,"Fulton County, Arkansas",38917
05051,"Garland County, Arkansas",54229
05053,"Grant County, Arkansas",68598
05055,"Greene County, Arkansas",54879
